,AÑO,LESIONADOS,HOMICIDIOS,LESIONADOS_HOMICIDIO,PROPORCION
0,2019,11792,103,114.48543689320388,114.48543689320388
1,2020,6855,81,84.62962962962963,125.93398058252428
2,2021,8957,97,92.34020618556701,93.09259259259261
